model,modality,focus,budget_tokens,position,metric,mean,std,runs,ok_runs,latency_mean,prompt_tokens_mean,cost_mean
deepseek-flash,confusion,spans,16000,target_at_end,span_f1,0.044,0.0,1,1,125.401,16494,0.0047
deepseek-flash,confusion,spans,16000,target_at_end,exact_match,0.0,0.0,1,1,125.401,16494,0.0047
deepseek-flash,confusion,spans,16000,target_at_end,abstention_rate,0.5676,0.0,1,1,125.401,16494,0.0047
deepseek-flash,confusion,spans,16000,target_at_end,hallucination_rate,0.4324,0.0,1,1,125.401,16494,0.0047
deepseek-flash,confusion,spans,16000,target_at_end,wrong_doc_rate,1.0,0.0,1,1,125.401,16494,0.0047
deepseek-flash,confusion,spans,16000,target_at_end,answered_positive_rate,1.0,0.0,1,1,125.401,16494,0.0047
deepseek-flash,confusion,spans,16000,target_at_middle,span_f1,0.0663,0.0,1,1,79.925,16468,0.0025
deepseek-flash,confusion,spans,16000,target_at_middle,exact_match,0.0,0.0,1,1,79.925,16468,0.0025
deepseek-flash,confusion,spans,16000,target_at_middle,abstention_rate,0.5676,0.0,1,1,79.925,16468,0.0025
deepseek-flash,confusion,spans,16000,target_at_middle,hallucination_rate,0.4324,0.0,1,1,79.925,16468,0.0025
deepseek-flash,confusion,spans,16000,target_at_middle,wrong_doc_rate,1.0,0.0,1,1,79.925,16468,0.0025
deepseek-flash,confusion,spans,16000,target_at_middle,answered_positive_rate,1.0,0.0,1,1,79.925,16468,0.0025
deepseek-flash,confusion,spans,16000,target_at_start,span_f1,0.7167,0.0,1,1,33.636,16708,0.0024
deepseek-flash,confusion,spans,16000,target_at_start,exact_match,0.5,0.0,1,1,33.636,16708,0.0024
deepseek-flash,confusion,spans,16000,target_at_start,abstention_rate,0.5135,0.0,1,1,33.636,16708,0.0024
deepseek-flash,confusion,spans,16000,target_at_start,hallucination_rate,0.4865,0.0,1,1,33.636,16708,0.0024
deepseek-flash,confusion,spans,16000,target_at_start,wrong_doc_rate,0.0,0.0,1,1,33.636,16708,0.0024
deepseek-flash,confusion,spans,16000,target_at_start,answered_positive_rate,1.0,0.0,1,1,33.636,16708,0.0024
deepseek-flash,confusion,spans,256000,target_at_end,span_f1,0.0485,0.0,1,1,103.431,216517,0.0326
deepseek-flash,confusion,spans,256000,target_at_end,exact_match,0.0,0.0,1,1,103.431,216517,0.0326
deepseek-flash,confusion,spans,256000,target_at_end,abstention_rate,0.1351,0.0,1,1,103.431,216517,0.0326
deepseek-flash,confusion,spans,256000,target_at_end,hallucination_rate,0.8649,0.0,1,1,103.431,216517,0.0326
deepseek-flash,confusion,spans,256000,target_at_end,wrong_doc_rate,1.0,0.0,1,1,103.431,216517,0.0326
deepseek-flash,confusion,spans,256000,target_at_end,answered_positive_rate,1.0,0.0,1,1,103.431,216517,0.0326
deepseek-flash,confusion,spans,256000,target_at_middle,span_f1,0.0917,0.0,1,1,84.895,213543,0.0301
deepseek-flash,confusion,spans,256000,target_at_middle,exact_match,0.0,0.0,1,1,84.895,213543,0.0301
deepseek-flash,confusion,spans,256000,target_at_middle,abstention_rate,0.1081,0.0,1,1,84.895,213543,0.0301
deepseek-flash,confusion,spans,256000,target_at_middle,hallucination_rate,0.8919,0.0,1,1,84.895,213543,0.0301
deepseek-flash,confusion,spans,256000,target_at_middle,wrong_doc_rate,1.0,0.0,1,1,84.895,213543,0.0301
deepseek-flash,confusion,spans,256000,target_at_middle,answered_positive_rate,1.0,0.0,1,1,84.895,213543,0.0301
deepseek-flash,confusion,spans,4000,target_at_end,span_f1,0.0616,0.0,1,1,81.667,6804,0.002
deepseek-flash,confusion,spans,4000,target_at_end,exact_match,0.0,0.0,1,1,81.667,6804,0.002
deepseek-flash,confusion,spans,4000,target_at_end,abstention_rate,0.9459,0.0,1,1,81.667,6804,0.002
deepseek-flash,confusion,spans,4000,target_at_end,hallucination_rate,0.0541,0.0,1,1,81.667,6804,0.002
deepseek-flash,confusion,spans,4000,target_at_end,wrong_doc_rate,1.0,0.0,1,1,81.667,6804,0.002
deepseek-flash,confusion,spans,4000,target_at_end,answered_positive_rate,1.0,0.0,1,1,81.667,6804,0.002
deepseek-flash,confusion,spans,4000,target_at_middle,span_f1,0.5143,0.0,1,1,43.493,6395,0.0027
deepseek-flash,confusion,spans,4000,target_at_middle,exact_match,0.0,0.0,1,1,43.493,6395,0.0027
deepseek-flash,confusion,spans,4000,target_at_middle,abstention_rate,0.7568,0.0,1,1,43.493,6395,0.0027
deepseek-flash,confusion,spans,4000,target_at_middle,hallucination_rate,0.2432,0.0,1,1,43.493,6395,0.0027
deepseek-flash,confusion,spans,4000,target_at_middle,wrong_doc_rate,0.0,0.0,1,1,43.493,6395,0.0027
deepseek-flash,confusion,spans,4000,target_at_middle,answered_positive_rate,1.0,0.0,1,1,43.493,6395,0.0027
deepseek-flash,confusion,spans,4000,target_at_start,span_f1,0.0772,0.0,1,1,38.398,6317,0.0015
deepseek-flash,confusion,spans,4000,target_at_start,exact_match,0.0,0.0,1,1,38.398,6317,0.0015
deepseek-flash,confusion,spans,4000,target_at_start,abstention_rate,0.8649,0.0,1,1,38.398,6317,0.0015
deepseek-flash,confusion,spans,4000,target_at_start,hallucination_rate,0.1351,0.0,1,1,38.398,6317,0.0015
deepseek-flash,confusion,spans,4000,target_at_start,wrong_doc_rate,1.0,0.0,1,1,38.398,6317,0.0015
deepseek-flash,confusion,spans,4000,target_at_start,answered_positive_rate,1.0,0.0,1,1,38.398,6317,0.0015
deepseek-flash,confusion,spans,64000,target_at_end,span_f1,0.05,0.0,1,1,81.61,54939,0.0072
deepseek-flash,confusion,spans,64000,target_at_end,exact_match,0.0,0.0,1,1,81.61,54939,0.0072
deepseek-flash,confusion,spans,64000,target_at_end,abstention_rate,0.2162,0.0,1,1,81.61,54939,0.0072
deepseek-flash,confusion,spans,64000,target_at_end,hallucination_rate,0.7838,0.0,1,1,81.61,54939,0.0072
deepseek-flash,confusion,spans,64000,target_at_end,wrong_doc_rate,1.0,0.0,1,1,81.61,54939,0.0072
deepseek-flash,confusion,spans,64000,target_at_end,answered_positive_rate,1.0,0.0,1,1,81.61,54939,0.0072
deepseek-flash,confusion,spans,64000,target_at_middle,span_f1,0.0361,0.0,1,1,98.61,57078,0.0115
deepseek-flash,confusion,spans,64000,target_at_middle,exact_match,0.0,0.0,1,1,98.61,57078,0.0115
deepseek-flash,confusion,spans,64000,target_at_middle,abstention_rate,0.3784,0.0,1,1,98.61,57078,0.0115
deepseek-flash,confusion,spans,64000,target_at_middle,hallucination_rate,0.6216,0.0,1,1,98.61,57078,0.0115
deepseek-flash,confusion,spans,64000,target_at_middle,wrong_doc_rate,1.0,0.0,1,1,98.61,57078,0.0115
deepseek-flash,confusion,spans,64000,target_at_middle,answered_positive_rate,1.0,0.0,1,1,98.61,57078,0.0115
deepseek-flash,confusion,spans,64000,target_at_start,span_f1,0.6333,0.0,1,1,30.3,57230,0.0054
deepseek-flash,confusion,spans,64000,target_at_start,exact_match,0.5,0.0,1,1,30.3,57230,0.0054
deepseek-flash,confusion,spans,64000,target_at_start,abstention_rate,1.0,0.0,1,1,30.3,57230,0.0054
deepseek-flash,confusion,spans,64000,target_at_start,hallucination_rate,0.0,0.0,1,1,30.3,57230,0.0054
deepseek-flash,confusion,spans,64000,target_at_start,wrong_doc_rate,0.0,0.0,1,1,30.3,57230,0.0054
deepseek-flash,confusion,spans,64000,target_at_start,answered_positive_rate,1.0,0.0,1,1,30.3,57230,0.0054
deepseek-flash,missing_answer,abstention,16000,target_at_end,span_f1,0.0054,0.0,1,1,24.931,14993,0.0027
deepseek-flash,missing_answer,abstention,16000,target_at_end,exact_match,0.0,0.0,1,1,24.931,14993,0.0027
deepseek-flash,missing_answer,abstention,16000,target_at_end,abstention_rate,0.8108,0.0,1,1,24.931,14993,0.0027
deepseek-flash,missing_answer,abstention,16000,target_at_end,hallucination_rate,0.1892,0.0,1,1,24.931,14993,0.0027
deepseek-flash,missing_answer,abstention,16000,target_at_end,wrong_doc_rate,1.0,0.0,1,1,24.931,14993,0.0027
deepseek-flash,missing_answer,abstention,16000,target_at_end,answered_positive_rate,0.75,0.0,1,1,24.931,14993,0.0027
deepseek-flash,missing_answer,abstention,16000,target_at_middle,span_f1,0.054,0.0,1,1,24.638,15830,0.0021
deepseek-flash,missing_answer,abstention,16000,target_at_middle,exact_match,0.0,0.0,1,1,24.638,15830,0.0021
deepseek-flash,missing_answer,abstention,16000,target_at_middle,abstention_rate,0.5405,0.0,1,1,24.638,15830,0.0021
deepseek-flash,missing_answer,abstention,16000,target_at_middle,hallucination_rate,0.4595,0.0,1,1,24.638,15830,0.0021
deepseek-flash,missing_answer,abstention,16000,target_at_middle,wrong_doc_rate,1.0,0.0,1,1,24.638,15830,0.0021
deepseek-flash,missing_answer,abstention,16000,target_at_middle,answered_positive_rate,1.0,0.0,1,1,24.638,15830,0.0021
deepseek-flash,missing_answer,abstention,16000,target_at_start,span_f1,0.7167,0.0,1,1,81.484,15713,0.0043
deepseek-flash,missing_answer,abstention,16000,target_at_start,exact_match,0.5,0.0,1,1,81.484,15713,0.0043
deepseek-flash,missing_answer,abstention,16000,target_at_start,abstention_rate,0.4865,0.0,1,1,81.484,15713,0.0043
deepseek-flash,missing_answer,abstention,16000,target_at_start,hallucination_rate,0.5135,0.0,1,1,81.484,15713,0.0043
deepseek-flash,missing_answer,abstention,16000,target_at_start,wrong_doc_rate,0.0,0.0,1,1,81.484,15713,0.0043
deepseek-flash,missing_answer,abstention,16000,target_at_start,answered_positive_rate,1.0,0.0,1,1,81.484,15713,0.0043
deepseek-flash,missing_answer,abstention,256000,target_at_end,span_f1,0.1021,0.0,1,1,88.588,212342,0.0309
deepseek-flash,missing_answer,abstention,256000,target_at_end,exact_match,0.0,0.0,1,1,88.588,212342,0.0309
deepseek-flash,missing_answer,abstention,256000,target_at_end,abstention_rate,0.1351,0.0,1,1,88.588,212342,0.0309
deepseek-flash,missing_answer,abstention,256000,target_at_end,hallucination_rate,0.8649,0.0,1,1,88.588,212342,0.0309
deepseek-flash,missing_answer,abstention,256000,target_at_end,wrong_doc_rate,1.0,0.0,1,1,88.588,212342,0.0309
deepseek-flash,missing_answer,abstention,256000,target_at_end,answered_positive_rate,1.0,0.0,1,1,88.588,212342,0.0309
deepseek-flash,missing_answer,abstention,256000,target_at_middle,span_f1,0.05,0.0,1,1,110.581,214962,0.0332
deepseek-flash,missing_answer,abstention,256000,target_at_middle,exact_match,0.0,0.0,1,1,110.581,214962,0.0332
deepseek-flash,missing_answer,abstention,256000,target_at_middle,abstention_rate,0.2432,0.0,1,1,110.581,214962,0.0332
deepseek-flash,missing_answer,abstention,256000,target_at_middle,hallucination_rate,0.7568,0.0,1,1,110.581,214962,0.0332
deepseek-flash,missing_answer,abstention,256000,target_at_middle,wrong_doc_rate,1.0,0.0,1,1,110.581,214962,0.0332
deepseek-flash,missing_answer,abstention,256000,target_at_middle,answered_positive_rate,1.0,0.0,1,1,110.581,214962,0.0332
deepseek-flash,missing_answer,abstention,256000,target_at_start,span_f1,0.0672,0.0,1,1,68.92,219565,0.0316
deepseek-flash,missing_answer,abstention,256000,target_at_start,exact_match,0.0,0.0,1,1,68.92,219565,0.0316
deepseek-flash,missing_answer,abstention,256000,target_at_start,abstention_rate,0.4595,0.0,1,1,68.92,219565,0.0316
deepseek-flash,missing_answer,abstention,256000,target_at_start,hallucination_rate,0.5405,0.0,1,1,68.92,219565,0.0316
deepseek-flash,missing_answer,abstention,256000,target_at_start,wrong_doc_rate,1.0,0.0,1,1,68.92,219565,0.0316
deepseek-flash,missing_answer,abstention,256000,target_at_start,answered_positive_rate,1.0,0.0,1,1,68.92,219565,0.0316
deepseek-flash,missing_answer,abstention,4000,target_at_end,span_f1,0.0495,0.0,1,1,54.256,6254,0.0009
deepseek-flash,missing_answer,abstention,4000,target_at_end,exact_match,0.0,0.0,1,1,54.256,6254,0.0009
deepseek-flash,missing_answer,abstention,4000,target_at_end,abstention_rate,0.8108,0.0,1,1,54.256,6254,0.0009
deepseek-flash,missing_answer,abstention,4000,target_at_end,hallucination_rate,0.1892,0.0,1,1,54.256,6254,0.0009
deepseek-flash,missing_answer,abstention,4000,target_at_end,wrong_doc_rate,1.0,0.0,1,1,54.256,6254,0.0009
deepseek-flash,missing_answer,abstention,4000,target_at_end,answered_positive_rate,1.0,0.0,1,1,54.256,6254,0.0009
deepseek-flash,missing_answer,abstention,4000,target_at_middle,span_f1,0.2232,0.0,1,1,75.489,6346,0.0031
deepseek-flash,missing_answer,abstention,4000,target_at_middle,exact_match,0.0,0.0,1,1,75.489,6346,0.0031
deepseek-flash,missing_answer,abstention,4000,target_at_middle,abstention_rate,0.6486,0.0,1,1,75.489,6346,0.0031
deepseek-flash,missing_answer,abstention,4000,target_at_middle,hallucination_rate,0.3514,0.0,1,1,75.489,6346,0.0031
deepseek-flash,missing_answer,abstention,4000,target_at_middle,wrong_doc_rate,0.75,0.0,1,1,75.489,6346,0.0031
deepseek-flash,missing_answer,abstention,4000,target_at_middle,answered_positive_rate,1.0,0.0,1,1,75.489,6346,0.0031
deepseek-flash,missing_answer,abstention,4000,target_at_start,span_f1,0.6333,0.0,1,1,43.831,5850,0.0022
deepseek-flash,missing_answer,abstention,4000,target_at_start,exact_match,0.5,0.0,1,1,43.831,5850,0.0022
deepseek-flash,missing_answer,abstention,4000,target_at_start,abstention_rate,0.8919,0.0,1,1,43.831,5850,0.0022
deepseek-flash,missing_answer,abstention,4000,target_at_start,hallucination_rate,0.1081,0.0,1,1,43.831,5850,0.0022
deepseek-flash,missing_answer,abstention,4000,target_at_start,wrong_doc_rate,0.0,0.0,1,1,43.831,5850,0.0022
deepseek-flash,missing_answer,abstention,4000,target_at_start,answered_positive_rate,1.0,0.0,1,1,43.831,5850,0.0022
deepseek-flash,missing_answer,abstention,64000,target_at_end,span_f1,0.0549,0.0,1,1,124.171,55911,0.0098
deepseek-flash,missing_answer,abstention,64000,target_at_end,exact_match,0.0,0.0,1,1,124.171,55911,0.0098
deepseek-flash,missing_answer,abstention,64000,target_at_end,abstention_rate,0.3784,0.0,1,1,124.171,55911,0.0098
deepseek-flash,missing_answer,abstention,64000,target_at_end,hallucination_rate,0.6216,0.0,1,1,124.171,55911,0.0098
deepseek-flash,missing_answer,abstention,64000,target_at_end,wrong_doc_rate,1.0,0.0,1,1,124.171,55911,0.0098
deepseek-flash,missing_answer,abstention,64000,target_at_end,answered_positive_rate,1.0,0.0,1,1,124.171,55911,0.0098
deepseek-flash,missing_answer,abstention,64000,target_at_middle,span_f1,0.0554,0.0,1,1,105.665,55848,0.0056
deepseek-flash,missing_answer,abstention,64000,target_at_middle,exact_match,0.0,0.0,1,1,105.665,55848,0.0056
deepseek-flash,missing_answer,abstention,64000,target_at_middle,abstention_rate,0.2973,0.0,1,1,105.665,55848,0.0056
deepseek-flash,missing_answer,abstention,64000,target_at_middle,hallucination_rate,0.7027,0.0,1,1,105.665,55848,0.0056
deepseek-flash,missing_answer,abstention,64000,target_at_middle,wrong_doc_rate,1.0,0.0,1,1,105.665,55848,0.0056
deepseek-flash,missing_answer,abstention,64000,target_at_middle,answered_positive_rate,1.0,0.0,1,1,105.665,55848,0.0056
deepseek-flash,missing_answer,abstention,64000,target_at_start,span_f1,0.6056,0.0,1,1,91.434,56801,0.0101
deepseek-flash,missing_answer,abstention,64000,target_at_start,exact_match,0.25,0.0,1,1,91.434,56801,0.0101
deepseek-flash,missing_answer,abstention,64000,target_at_start,abstention_rate,0.1081,0.0,1,1,91.434,56801,0.0101
deepseek-flash,missing_answer,abstention,64000,target_at_start,hallucination_rate,0.8919,0.0,1,1,91.434,56801,0.0101
deepseek-flash,missing_answer,abstention,64000,target_at_start,wrong_doc_rate,0.0,0.0,1,1,91.434,56801,0.0101
deepseek-flash,missing_answer,abstention,64000,target_at_start,answered_positive_rate,1.0,0.0,1,1,91.434,56801,0.0101
deepseek-flash,rot,spans,16000,target_at_end,span_f1,0.55,0.0,1,1,38.276,16436,0.0032
deepseek-flash,rot,spans,16000,target_at_end,exact_match,0.25,0.0,1,1,38.276,16436,0.0032
deepseek-flash,rot,spans,16000,target_at_end,abstention_rate,1.0,0.0,1,1,38.276,16436,0.0032
deepseek-flash,rot,spans,16000,target_at_end,hallucination_rate,0.0,0.0,1,1,38.276,16436,0.0032
deepseek-flash,rot,spans,16000,target_at_end,wrong_doc_rate,0.0,0.0,1,1,38.276,16436,0.0032
deepseek-flash,rot,spans,16000,target_at_end,answered_positive_rate,1.0,0.0,1,1,38.276,16436,0.0032
deepseek-flash,rot,spans,16000,target_at_middle,span_f1,0.6333,0.0,1,1,17.325,16436,0.0027
deepseek-flash,rot,spans,16000,target_at_middle,exact_match,0.5,0.0,1,1,17.325,16436,0.0027
deepseek-flash,rot,spans,16000,target_at_middle,abstention_rate,1.0,0.0,1,1,17.325,16436,0.0027
deepseek-flash,rot,spans,16000,target_at_middle,hallucination_rate,0.0,0.0,1,1,17.325,16436,0.0027
deepseek-flash,rot,spans,16000,target_at_middle,wrong_doc_rate,0.0,0.0,1,1,17.325,16436,0.0027
deepseek-flash,rot,spans,16000,target_at_middle,answered_positive_rate,1.0,0.0,1,1,17.325,16436,0.0027
deepseek-flash,rot,spans,16000,target_at_start,span_f1,0.55,0.0,1,1,27.708,16439,0.0016
deepseek-flash,rot,spans,16000,target_at_start,exact_match,0.25,0.0,1,1,27.708,16439,0.0016
deepseek-flash,rot,spans,16000,target_at_start,abstention_rate,1.0,0.0,1,1,27.708,16439,0.0016
deepseek-flash,rot,spans,16000,target_at_start,hallucination_rate,0.0,0.0,1,1,27.708,16439,0.0016
deepseek-flash,rot,spans,16000,target_at_start,wrong_doc_rate,0.0,0.0,1,1,27.708,16439,0.0016
deepseek-flash,rot,spans,16000,target_at_start,answered_positive_rate,1.0,0.0,1,1,27.708,16439,0.0016
deepseek-flash,rot,spans,256000,target_at_end,span_f1,0.6056,0.0,1,1,36.006,219572,0.0318
deepseek-flash,rot,spans,256000,target_at_end,exact_match,0.25,0.0,1,1,36.006,219572,0.0318
deepseek-flash,rot,spans,256000,target_at_end,abstention_rate,1.0,0.0,1,1,36.006,219572,0.0318
deepseek-flash,rot,spans,256000,target_at_end,hallucination_rate,0.0,0.0,1,1,36.006,219572,0.0318
deepseek-flash,rot,spans,256000,target_at_end,wrong_doc_rate,0.0,0.0,1,1,36.006,219572,0.0318
deepseek-flash,rot,spans,256000,target_at_end,answered_positive_rate,1.0,0.0,1,1,36.006,219572,0.0318
deepseek-flash,rot,spans,256000,target_at_middle,span_f1,0.6056,0.0,1,1,52.106,219570,0.0153
deepseek-flash,rot,spans,256000,target_at_middle,exact_match,0.25,0.0,1,1,52.106,219570,0.0153
deepseek-flash,rot,spans,256000,target_at_middle,abstention_rate,1.0,0.0,1,1,52.106,219570,0.0153
deepseek-flash,rot,spans,256000,target_at_middle,hallucination_rate,0.0,0.0,1,1,52.106,219570,0.0153
deepseek-flash,rot,spans,256000,target_at_middle,wrong_doc_rate,0.0,0.0,1,1,52.106,219570,0.0153
deepseek-flash,rot,spans,256000,target_at_middle,answered_positive_rate,1.0,0.0,1,1,52.106,219570,0.0153
deepseek-flash,rot,spans,256000,target_at_start,span_f1,0.5833,0.0,1,1,37.384,219564,0.0136
deepseek-flash,rot,spans,256000,target_at_start,exact_match,0.25,0.0,1,1,37.384,219564,0.0136
deepseek-flash,rot,spans,256000,target_at_start,abstention_rate,1.0,0.0,1,1,37.384,219564,0.0136
deepseek-flash,rot,spans,256000,target_at_start,hallucination_rate,0.0,0.0,1,1,37.384,219564,0.0136
deepseek-flash,rot,spans,256000,target_at_start,wrong_doc_rate,0.0,0.0,1,1,37.384,219564,0.0136
deepseek-flash,rot,spans,256000,target_at_start,answered_positive_rate,1.0,0.0,1,1,37.384,219564,0.0136
deepseek-flash,rot,spans,4000,target_at_end,span_f1,0.6333,0.0,1,1,12.935,6353,0.0009
deepseek-flash,rot,spans,4000,target_at_end,exact_match,0.5,0.0,1,1,12.935,6353,0.0009
deepseek-flash,rot,spans,4000,target_at_end,abstention_rate,1.0,0.0,1,1,12.935,6353,0.0009
deepseek-flash,rot,spans,4000,target_at_end,hallucination_rate,0.0,0.0,1,1,12.935,6353,0.0009
deepseek-flash,rot,spans,4000,target_at_end,wrong_doc_rate,0.0,0.0,1,1,12.935,6353,0.0009
deepseek-flash,rot,spans,4000,target_at_end,answered_positive_rate,1.0,0.0,1,1,12.935,6353,0.0009
deepseek-flash,rot,spans,4000,target_at_middle,span_f1,0.5278,0.0,1,1,20.204,6355,0.0023
deepseek-flash,rot,spans,4000,target_at_middle,exact_match,0.25,0.0,1,1,20.204,6355,0.0023
deepseek-flash,rot,spans,4000,target_at_middle,abstention_rate,0.973,0.0,1,1,20.204,6355,0.0023
deepseek-flash,rot,spans,4000,target_at_middle,hallucination_rate,0.027,0.0,1,1,20.204,6355,0.0023
deepseek-flash,rot,spans,4000,target_at_middle,wrong_doc_rate,0.0,0.0,1,1,20.204,6355,0.0023
deepseek-flash,rot,spans,4000,target_at_middle,answered_positive_rate,1.0,0.0,1,1,20.204,6355,0.0023
deepseek-flash,rot,spans,4000,target_at_start,span_f1,0.6333,0.0,1,1,27.226,6357,0.0016
deepseek-flash,rot,spans,4000,target_at_start,exact_match,0.5,0.0,1,1,27.226,6357,0.0016
deepseek-flash,rot,spans,4000,target_at_start,abstention_rate,1.0,0.0,1,1,27.226,6357,0.0016
deepseek-flash,rot,spans,4000,target_at_start,hallucination_rate,0.0,0.0,1,1,27.226,6357,0.0016
deepseek-flash,rot,spans,4000,target_at_start,wrong_doc_rate,0.0,0.0,1,1,27.226,6357,0.0016
deepseek-flash,rot,spans,4000,target_at_start,answered_positive_rate,1.0,0.0,1,1,27.226,6357,0.0016
deepseek-flash,rot,spans,64000,target_at_end,span_f1,0.7167,0.0,1,1,42.33,56742,0.0067
deepseek-flash,rot,spans,64000,target_at_end,exact_match,0.5,0.0,1,1,42.33,56742,0.0067
deepseek-flash,rot,spans,64000,target_at_end,abstention_rate,0.973,0.0,1,1,42.33,56742,0.0067
deepseek-flash,rot,spans,64000,target_at_end,hallucination_rate,0.027,0.0,1,1,42.33,56742,0.0067
deepseek-flash,rot,spans,64000,target_at_end,wrong_doc_rate,0.0,0.0,1,1,42.33,56742,0.0067
deepseek-flash,rot,spans,64000,target_at_end,answered_positive_rate,1.0,0.0,1,1,42.33,56742,0.0067
deepseek-flash,rot,spans,64000,target_at_middle,span_f1,0.5278,0.0,1,1,25.378,56741,0.0089
deepseek-flash,rot,spans,64000,target_at_middle,exact_match,0.25,0.0,1,1,25.378,56741,0.0089
deepseek-flash,rot,spans,64000,target_at_middle,abstention_rate,0.973,0.0,1,1,25.378,56741,0.0089
deepseek-flash,rot,spans,64000,target_at_middle,hallucination_rate,0.027,0.0,1,1,25.378,56741,0.0089
deepseek-flash,rot,spans,64000,target_at_middle,wrong_doc_rate,0.0,0.0,1,1,25.378,56741,0.0089
deepseek-flash,rot,spans,64000,target_at_middle,answered_positive_rate,1.0,0.0,1,1,25.378,56741,0.0089
deepseek-flash,rot,spans,64000,target_at_start,span_f1,0.55,0.0,1,1,30.048,56748,0.0043
deepseek-flash,rot,spans,64000,target_at_start,exact_match,0.25,0.0,1,1,30.048,56748,0.0043
deepseek-flash,rot,spans,64000,target_at_start,abstention_rate,1.0,0.0,1,1,30.048,56748,0.0043
deepseek-flash,rot,spans,64000,target_at_start,hallucination_rate,0.0,0.0,1,1,30.048,56748,0.0043
deepseek-flash,rot,spans,64000,target_at_start,wrong_doc_rate,0.0,0.0,1,1,30.048,56748,0.0043
deepseek-flash,rot,spans,64000,target_at_start,answered_positive_rate,1.0,0.0,1,1,30.048,56748,0.0043
